date,number,address,position,bike_stands,available_bike_stands,available_bikes,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-03-22 23:00:00,57,Gorkega ulica 48,"{'lat': 46.549005, 'lng': 15.635014}",1142,2.0,9.508771929824562,9.1,93.0,8.0,7.0,0.0,0.2,1004.8
2024-03-25 19:00:00,57,Gorkega ulica 48,"{'lat': 46.549005, 'lng': 15.635014}",1142,8.0,8.929824561403509,5.4,76.0,1.5,2.8,0.0,0.0,1001.4
2024-03-25 20:00:00,58,Gorkega ulica 48,"{'lat': 46.549005, 'lng': 15.635014}",1162,7.0,9.241379310344827,2.7,89.0,1.0,-0.3,0.0,0.0,1001.2
2024-03-26 00:00:00,29,Gorkega ulica 48,"{'lat': 46.549005, 'lng': 15.635014}",581,8.0,9.517241379310345,0.4,93.0,-0.6,-2.9,0.0,0.0,1001.3
2024-03-26 20:00:00,59,Gorkega ulica 48,"{'lat': 46.549005, 'lng': 15.635014}",1182,5.0,9.016949152542374,7.9,68.0,2.3,4.0,0.0,0.0,989.6
2024-03-27 08:00:00,58,Gorkega ulica 48,"{'lat': 46.549005, 'lng': 15.635014}",1162,10.0,8.689655172413794,10.3,64.0,3.7,6.6,0.0,0.0,985.5
2024-03-28 02:00:00,58,Gorkega ulica 48,"{'lat': 46.549005, 'lng': 15.635014}",1162,9.0,9.482758620689655,8.3,91.0,6.9,6.2,0.0,0.0,979.2
2024-03-28 04:00:00,58,Gorkega ulica 48,"{'lat': 46.549005, 'lng': 15.635014}",1162,9.0,9.39655172413793,8.6,92.0,7.5,6.4,0.0,0.0,978.7
2024-03-28 08:00:00,58,Gorkega ulica 48,"{'lat': 46.549005, 'lng': 15.635014}",1162,15.0,8.517241379310345,7.5,89.0,5.8,3.0,0.0,0.2,981.9
2024-03-28 19:00:00,58,Gorkega ulica 48,"{'lat': 46.549005, 'lng': 15.635014}",1162,12.0,9.448275862068966,8.4,68.0,2.9,3.7,0.0,0.0,989.6
2024-03-29 05:00:00,58,Gorkega ulica 48,"{'lat': 46.549005, 'lng': 15.635014}",1162,13.0,9.448275862068966,5.2,83.0,2.5,1.1,0.0,0.0,995.4
2024-03-29 08:00:00,58,Gorkega ulica 48,"{'lat': 46.549005, 'lng': 15.635014}",1162,16.0,9.172413793103448,9.7,68.0,4.0,5.8,0.0,0.0,996.3
2024-03-29 21:00:00,58,Gorkega ulica 48,"{'lat': 46.549005, 'lng': 15.635014}",1161,19.0,9.344827586206897,9.5,90.0,8.0,8.0,0.0,0.0,997.2
2024-03-31 08:00:00,58,Gorkega ulica 48,"{'lat': 46.549005, 'lng': 15.635014}",1162,20.0,9.327586206896552,13.0,84.0,10.3,12.9,0.0,0.0,993.4
2024-03-31 09:00:00,58,Gorkega ulica 48,"{'lat': 46.549005, 'lng': 15.635014}",1162,20.0,9.155172413793103,14.9,80.0,11.4,15.0,0.0,0.0,993.6
2024-03-31 13:00:00,61,Gorkega ulica 48,"{'lat': 46.549005, 'lng': 15.635014}",1222,20.0,9.131147540983607,19.0,63.0,11.8,19.6,0.0,0.0,993.1
2024-03-31 22:00:00,58,Gorkega ulica 48,"{'lat': 46.549005, 'lng': 15.635014}",1162,16.0,9.39655172413793,10.3,96.0,9.7,8.7,0.0,0.0,993.3
2024-03-31 23:00:00,58,Gorkega ulica 48,"{'lat': 46.549005, 'lng': 15.635014}",1162,15.0,9.431034482758621,9.9,97.0,9.4,8.2,0.0,0.0,993.0
2024-04-01 00:00:00,29,Gorkega ulica 48,"{'lat': 46.549005, 'lng': 15.635014}",581,15.0,9.448275862068966,9.5,97.0,9.1,8.1,0.0,0.0,993.0
2024-04-04 00:00:00,29,Gorkega ulica 48,"{'lat': 46.549005, 'lng': 15.635014}",581,6.0,9.517241379310345,8.6,92.0,7.4,6.0,0.0,0.0,1003.3
