date,number,address,position,bike_stands,available_bike_stands,available_bikes,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-03-23 00:00:00,29,LJUBLJANSKA 41,"{'lat': 46.545947, 'lng': 15.644015}",581,16.0,9.482758620689655,8.5,91.0,7.1,6.4,0.0,0.2,1004.3
2024-03-23 04:00:00,58,LJUBLJANSKA 41,"{'lat': 46.545947, 'lng': 15.644015}",1162,16.0,9.46551724137931,7.3,97.0,6.8,5.7,0.0,0.1,1001.9
2024-03-23 12:00:00,58,LJUBLJANSKA 41,"{'lat': 46.545947, 'lng': 15.644015}",1162,16.0,8.931034482758621,5.8,86.0,3.7,1.9,0.0,0.6,999.9
2024-03-23 17:00:00,49,LJUBLJANSKA 41,"{'lat': 46.545947, 'lng': 15.644015}",980,19.0,9.122448979591837,5.8,85.0,3.4,2.1,0.0,0.0,1000.0
2024-03-23 18:00:00,58,LJUBLJANSKA 41,"{'lat': 46.545947, 'lng': 15.644015}",1162,18.0,9.431034482758621,4.9,88.0,3.1,1.6,0.0,0.0,1000.6
2024-03-23 19:00:00,58,LJUBLJANSKA 41,"{'lat': 46.545947, 'lng': 15.644015}",1162,18.0,9.517241379310345,3.8,92.0,2.7,1.0,0.0,0.0,1000.8
2024-03-26 04:00:00,58,LJUBLJANSKA 41,"{'lat': 46.545947, 'lng': 15.644015}",1162,6.0,9.46551724137931,0.9,93.0,-0.1,-2.8,0.0,0.0,1000.1
2024-03-26 06:00:00,58,LJUBLJANSKA 41,"{'lat': 46.545947, 'lng': 15.644015}",1162,9.0,8.793103448275861,2.4,89.0,0.8,-1.9,0.0,0.0,999.4
2024-03-27 11:00:00,56,LJUBLJANSKA 41,"{'lat': 46.545947, 'lng': 15.644015}",1121,15.0,8.625,15.4,54.0,6.2,12.4,0.0,0.0,984.6
2024-03-29 12:00:00,58,LJUBLJANSKA 41,"{'lat': 46.545947, 'lng': 15.644015}",1162,10.0,8.482758620689655,11.5,68.0,5.8,8.5,0.0,0.1,996.0
2024-04-01 14:00:00,56,LJUBLJANSKA 41,"{'lat': 46.545947, 'lng': 15.644015}",1122,16.0,8.089285714285714,19.4,54.0,9.9,16.5,0.0,0.0,987.4
2024-04-01 17:00:00,58,LJUBLJANSKA 41,"{'lat': 46.545947, 'lng': 15.644015}",1162,14.0,8.568965517241379,13.2,75.0,8.9,9.3,0.0,0.0,990.2
2024-04-02 11:00:00,58,LJUBLJANSKA 41,"{'lat': 46.545947, 'lng': 15.644015}",1162,16.0,7.793103448275862,13.1,60.0,5.4,6.6,0.0,0.2,998.1
2024-04-03 14:00:00,58,LJUBLJANSKA 41,"{'lat': 46.545947, 'lng': 15.644015}",1162,12.0,8.155172413793103,11.1,85.0,8.8,10.0,0.0,0.7,1003.4
2024-04-03 15:00:00,58,LJUBLJANSKA 41,"{'lat': 46.545947, 'lng': 15.644015}",1162,12.0,8.293103448275861,11.5,86.0,9.3,10.8,0.0,0.2,1003.2
2024-04-04 04:00:00,58,LJUBLJANSKA 41,"{'lat': 46.545947, 'lng': 15.644015}",1162,14.0,9.379310344827585,8.9,93.0,7.8,6.0,0.0,0.0,1002.8
2024-04-05 04:00:00,58,LJUBLJANSKA 41,"{'lat': 46.545947, 'lng': 15.644015}",1162,7.0,9.39655172413793,9.0,90.0,7.5,6.5,0.0,0.0,1007.4
