date,number,address,position,bike_stands,available_bike_stands,available_bikes,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-03-21 20:00:00,27,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",541,14.0,9.037037037037036,8.3,84.0,5.7,4.3,0.0,0.0,1017.4
2024-03-23 08:00:00,30,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",601,3.0,9.3,6.0,89.0,4.4,2.5,0.0,1.0,999.6
2024-03-23 16:00:00,67,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",1344,4.0,8.985074626865671,6.6,79.0,3.2,2.7,0.0,0.2,1000.7
2024-03-25 17:00:00,56,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",1122,10.0,8.392857142857142,6.7,78.0,3.0,4.2,0.0,0.0,1000.9
2024-03-26 08:00:00,58,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",1162,19.0,8.344827586206897,6.7,77.0,2.9,2.6,0.0,0.0,998.5
2024-03-26 09:00:00,58,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",1162,19.0,8.448275862068966,8.6,70.0,3.5,4.4,0.0,0.0,997.9
2024-03-26 10:00:00,58,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",1162,20.0,8.017241379310345,10.1,59.0,2.5,5.3,0.0,0.0,997.0
2024-03-26 11:00:00,58,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",1162,20.0,8.46551724137931,11.4,53.0,2.2,6.5,0.0,0.0,995.8
2024-03-26 21:00:00,58,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",1162,9.0,9.327586206896552,7.0,70.0,1.9,3.0,0.0,0.0,989.3
2024-03-26 23:00:00,58,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",1162,9.0,9.362068965517242,7.2,64.0,0.8,3.0,0.0,0.0,988.4
2024-03-27 14:00:00,58,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",1162,10.0,8.155172413793103,17.0,51.0,6.9,13.6,0.0,0.0,983.5
2024-03-27 21:00:00,57,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",1142,9.0,9.473684210526315,10.9,79.0,7.4,8.0,0.0,0.0,982.1
2024-03-27 22:00:00,58,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",1162,9.0,9.379310344827585,10.8,80.0,7.4,7.8,0.0,0.0,981.7
2024-03-28 07:00:00,58,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",1162,9.0,8.431034482758621,8.1,92.0,6.9,3.4,0.0,0.4,980.8
2024-03-28 10:00:00,58,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",1162,8.0,8.844827586206897,9.8,74.0,5.3,4.3,0.0,0.0,983.6
2024-03-28 15:00:00,58,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",1162,4.0,8.448275862068966,11.6,63.0,4.7,5.8,0.0,0.0,985.8
2024-03-29 17:00:00,54,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",1082,15.0,8.722222222222221,12.9,68.0,7.1,9.4,0.0,0.0,995.0
2024-03-30 00:00:00,29,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",581,14.0,9.310344827586206,8.9,91.0,7.6,7.2,0.0,0.0,997.6
2024-03-30 10:00:00,58,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",1162,13.0,9.258620689655173,18.6,67.0,12.3,17.8,0.0,0.0,995.9
2024-03-31 10:00:00,59,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",1182,7.0,9.338983050847459,16.7,76.0,12.4,16.6,0.0,0.0,993.8
2024-03-31 11:00:00,57,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",1142,8.0,8.912280701754385,18.0,71.0,12.8,18.2,0.0,0.0,993.7
2024-04-01 13:00:00,60,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",1202,10.0,7.9,18.6,62.0,11.1,16.8,0.0,0.0,987.5
2024-04-01 18:00:00,60,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",1203,11.0,8.45,11.9,80.0,8.6,8.1,0.0,0.0,991.4
2024-04-02 01:00:00,29,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",581,11.0,8.931034482758621,9.6,80.0,6.4,5.4,0.0,0.0,995.2
2024-04-02 12:00:00,58,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",1162,15.0,8.362068965517242,13.6,56.0,4.9,7.5,0.0,0.1,998.5
2024-04-03 10:00:00,60,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",1202,13.0,7.983333333333333,9.9,81.0,6.7,7.8,0.0,0.0,1003.0
2024-04-03 13:00:00,58,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",1162,8.0,8.172413793103448,11.0,81.0,7.9,9.7,0.0,0.5,1003.4
2024-04-04 01:00:00,29,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",581,4.0,9.586206896551724,9.2,93.0,8.0,6.6,0.0,0.0,1003.0
2024-04-04 03:00:00,58,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",1162,4.0,9.53448275862069,8.8,93.0,7.8,6.1,0.0,0.0,1002.9
2024-04-04 08:00:00,58,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",1162,11.0,8.620689655172415,12.0,81.0,8.9,9.3,0.0,0.0,1004.0
2024-04-05 07:00:00,58,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",1162,13.0,8.5,12.0,83.0,9.3,9.8,0.0,0.0,1008.6
