date,number,address,position,bike_stands,available_bike_stands,available_bikes,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-03-25 23:00:00,58,Partizanska cesta 6a,"{'lat': 46.560227, 'lng': 15.650781}",1162,16.0,9.517241379310345,1.1,92.0,0.0,-2.0,0.0,0.0,1001.4
2024-03-26 13:00:00,61,Partizanska cesta 6a,"{'lat': 46.560227, 'lng': 15.650781}",1222,3.0,8.114754098360656,12.7,50.0,2.5,7.7,0.0,0.0,994.0
2024-03-27 02:00:00,52,Partizanska cesta 6a,"{'lat': 46.560227, 'lng': 15.650781}",1040,11.0,9.26923076923077,5.9,65.0,-0.1,1.6,0.0,0.0,987.0
2024-03-28 20:00:00,58,Partizanska cesta 6a,"{'lat': 46.560227, 'lng': 15.650781}",1162,11.0,9.39655172413793,7.4,73.0,2.8,3.3,0.0,0.0,990.8
2024-03-29 11:00:00,58,Partizanska cesta 6a,"{'lat': 46.560227, 'lng': 15.650781}",1162,3.0,8.155172413793103,11.0,66.0,5.0,7.6,0.0,0.1,996.5
2024-03-30 11:00:00,58,Partizanska cesta 6a,"{'lat': 46.560227, 'lng': 15.650781}",1162,7.0,9.189655172413794,20.1,60.0,12.1,19.2,0.0,0.0,995.7
2024-04-01 02:00:00,58,Partizanska cesta 6a,"{'lat': 46.560227, 'lng': 15.650781}",1162,13.0,9.551724137931034,8.7,96.0,8.1,7.1,0.0,0.0,992.3
2024-04-01 11:00:00,58,Partizanska cesta 6a,"{'lat': 46.560227, 'lng': 15.650781}",1162,11.0,8.448275862068966,19.0,61.0,11.2,17.2,0.0,0.0,987.4
2024-04-04 02:00:00,58,Partizanska cesta 6a,"{'lat': 46.560227, 'lng': 15.650781}",1162,14.0,9.568965517241379,9.2,93.0,8.0,6.7,0.0,0.1,1002.9
2024-04-05 13:00:00,29,Partizanska cesta 6a,"{'lat': 46.560227, 'lng': 15.650781}",581,3.0,7.551724137931035,18.4,62.0,10.9,15.6,0.0,0.0,1007.0
