date,number,address,position,bike_stands,available_bike_stands,available_bikes,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-03-24 06:00:00,58,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",1162,0.0,9.586206896551724,2.2,86.0,0.1,-2.4,0.0,0.0,997.6
2024-03-27 06:00:00,58,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",1162,11.0,8.637931034482758,6.1,68.0,0.6,1.6,0.0,0.0,985.0
2024-03-28 03:00:00,58,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",1162,20.0,9.482758620689655,8.4,92.0,7.1,5.9,0.0,0.0,979.0
2024-03-28 05:00:00,58,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",1162,18.0,9.275862068965518,9.0,91.0,7.7,6.1,0.0,0.2,978.9
2024-03-28 06:00:00,58,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",1162,20.0,8.60344827586207,7.9,93.0,6.9,3.8,0.0,0.5,979.7
2024-03-28 09:00:00,58,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",1162,20.0,8.60344827586207,8.2,83.0,5.5,3.1,0.0,0.0,982.9
2024-03-28 21:00:00,58,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",1162,7.0,9.551724137931034,6.7,77.0,2.9,2.9,0.0,0.0,991.4
2024-03-28 22:00:00,58,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",1162,8.0,9.517241379310345,6.3,77.0,2.5,2.1,0.0,0.0,992.0
2024-03-28 23:00:00,58,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",1162,7.0,9.551724137931034,6.9,67.0,1.2,2.0,0.0,0.0,993.1
2024-04-03 00:00:00,29,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",581,17.0,9.482758620689655,8.9,82.0,6.0,4.7,0.0,0.0,1000.8
