date,number,address,position,bike_stands,available_bike_stands,available_bikes,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-03-22 22:00:00,59,Usnjarska ulica 5,"{'lat': 46.556534, 'lng': 15.647629}",1182,11.0,9.11864406779661,9.5,95.0,8.8,7.2,0.0,0.5,1004.9
2024-03-25 09:00:00,58,Usnjarska ulica 5,"{'lat': 46.556534, 'lng': 15.647629}",1162,8.0,8.327586206896552,6.1,85.0,3.9,1.8,0.0,0.1,999.7
2024-03-25 10:00:00,59,Usnjarska ulica 5,"{'lat': 46.556534, 'lng': 15.647629}",1182,8.0,8.11864406779661,6.7,80.0,3.4,2.2,0.0,0.0,1000.4
2024-03-26 02:00:00,51,Usnjarska ulica 5,"{'lat': 46.556534, 'lng': 15.647629}",1020,4.0,9.372549019607844,0.9,92.0,-0.2,-2.6,0.0,0.0,1000.5
2024-03-26 03:00:00,57,Usnjarska ulica 5,"{'lat': 46.556534, 'lng': 15.647629}",1142,4.0,9.421052631578947,0.9,93.0,-0.2,-2.7,0.0,0.0,1000.3
2024-03-26 22:00:00,57,Usnjarska ulica 5,"{'lat': 46.556534, 'lng': 15.647629}",1142,11.0,9.403508771929825,7.2,66.0,1.3,2.9,0.0,0.0,988.9
2024-03-27 04:00:00,58,Usnjarska ulica 5,"{'lat': 46.556534, 'lng': 15.647629}",1162,11.0,9.551724137931034,5.1,68.0,-0.4,0.8,0.0,0.0,986.2
2024-03-27 12:00:00,58,Usnjarska ulica 5,"{'lat': 46.556534, 'lng': 15.647629}",1162,10.0,8.344827586206897,16.5,54.0,7.1,13.6,0.0,0.0,983.8
2024-03-28 14:00:00,58,Usnjarska ulica 5,"{'lat': 46.556534, 'lng': 15.647629}",1162,13.0,7.948275862068965,13.4,54.0,4.4,7.1,0.0,0.1,984.7
2024-03-29 09:00:00,58,Usnjarska ulica 5,"{'lat': 46.556534, 'lng': 15.647629}",1162,11.0,8.362068965517242,10.3,65.0,4.0,6.2,0.0,0.0,996.9
2024-03-29 10:00:00,58,Usnjarska ulica 5,"{'lat': 46.556534, 'lng': 15.647629}",1162,10.0,8.275862068965518,10.7,63.0,4.1,7.2,0.0,0.0,996.7
2024-03-31 14:00:00,59,Usnjarska ulica 5,"{'lat': 46.556534, 'lng': 15.647629}",1182,7.0,8.64406779661017,19.0,63.0,11.8,18.5,0.0,0.0,993.1
2024-04-02 05:00:00,58,Usnjarska ulica 5,"{'lat': 46.556534, 'lng': 15.647629}",1162,0.0,8.189655172413794,8.0,87.0,6.0,3.9,0.0,0.0,996.5
2024-04-02 08:00:00,58,Usnjarska ulica 5,"{'lat': 46.556534, 'lng': 15.647629}",1162,1.0,7.948275862068965,11.3,71.0,6.2,5.3,0.0,0.0,997.4
2024-04-02 09:00:00,58,Usnjarska ulica 5,"{'lat': 46.556534, 'lng': 15.647629}",1162,10.0,7.982758620689655,12.0,67.0,6.0,6.1,0.0,0.1,997.9
2024-04-02 10:00:00,58,Usnjarska ulica 5,"{'lat': 46.556534, 'lng': 15.647629}",1162,11.0,8.120689655172415,12.8,62.0,5.6,6.4,0.0,0.1,998.0
2024-04-02 18:00:00,58,Usnjarska ulica 5,"{'lat': 46.556534, 'lng': 15.647629}",1162,11.0,8.827586206896552,11.4,60.0,4.0,6.8,0.0,0.0,999.9
2024-04-02 21:00:00,58,Usnjarska ulica 5,"{'lat': 46.556534, 'lng': 15.647629}",1162,10.0,9.172413793103448,9.0,78.0,5.3,4.5,0.0,0.0,1000.6
2024-04-02 23:00:00,58,Usnjarska ulica 5,"{'lat': 46.556534, 'lng': 15.647629}",1162,12.0,9.431034482758621,8.6,82.0,5.7,4.3,0.0,0.0,1001.0
2024-04-03 04:00:00,58,Usnjarska ulica 5,"{'lat': 46.556534, 'lng': 15.647629}",1162,12.0,9.310344827586206,8.4,89.0,6.7,4.2,0.0,0.0,1000.2
2024-04-04 11:00:00,55,Usnjarska ulica 5,"{'lat': 46.556534, 'lng': 15.647629}",1102,7.0,8.218181818181819,14.2,63.0,7.4,10.6,0.0,0.0,1003.3
2024-04-04 14:00:00,58,Usnjarska ulica 5,"{'lat': 46.556534, 'lng': 15.647629}",1162,13.0,8.172413793103448,12.8,88.0,10.9,10.1,0.0,1.4,1000.9
2024-04-04 16:00:00,59,Usnjarska ulica 5,"{'lat': 46.556534, 'lng': 15.647629}",1182,9.0,8.254237288135593,13.5,85.0,11.0,10.7,0.0,0.0,1000.7
2024-04-05 01:00:00,30,Usnjarska ulica 5,"{'lat': 46.556534, 'lng': 15.647629}",601,13.0,9.366666666666667,9.9,85.0,7.5,6.7,0.0,0.0,1006.4
2024-04-05 05:00:00,58,Usnjarska ulica 5,"{'lat': 46.556534, 'lng': 15.647629}",1162,12.0,8.827586206896552,9.2,90.0,7.6,6.5,0.0,0.0,1008.0
2024-04-05 09:00:00,56,Usnjarska ulica 5,"{'lat': 46.556534, 'lng': 15.647629}",1122,11.0,8.357142857142858,15.2,73.0,10.4,12.3,0.0,0.1,1008.7
2024-04-05 10:00:00,60,Usnjarska ulica 5,"{'lat': 46.556534, 'lng': 15.647629}",1202,11.0,8.016666666666667,15.8,73.0,10.9,13.4,0.0,0.0,1008.5
