date,number,address,position,bike_stands,available_bike_stands,available_bikes,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-03-24 05:00:00,58,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",1162,18.0,9.586206896551724,1.7,88.0,0.0,-2.5,0.0,0.0,997.7
2024-03-24 07:00:00,58,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",1162,18.0,9.482758620689655,3.8,79.0,0.5,-1.1,0.0,0.0,997.4
2024-03-24 08:00:00,58,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",1162,18.0,9.482758620689655,5.2,74.0,0.9,-0.5,0.0,0.0,996.9
2024-03-24 09:00:00,58,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",1162,17.0,9.327586206896552,6.2,67.0,0.6,0.4,0.0,0.2,996.6
2024-03-24 10:00:00,64,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",1283,17.0,9.28125,6.3,68.0,0.9,0.4,0.0,0.2,996.3
2024-03-24 23:00:00,58,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",1162,19.0,9.517241379310345,4.7,93.0,3.6,0.8,0.0,0.4,992.6
2024-03-25 01:00:00,29,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",581,20.0,9.517241379310345,4.6,96.0,4.0,0.8,0.0,0.3,993.8
2024-03-27 19:00:00,57,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",1142,17.0,9.368421052631579,11.5,75.0,7.2,9.0,0.0,0.0,982.8
2024-03-30 06:00:00,58,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",1162,17.0,9.344827586206897,8.9,86.0,6.6,6.3,0.0,0.0,996.3
2024-03-31 20:00:00,59,Razlagova ulica 1,"{'lat': 46.56196, 'lng': 15.650235}",1182,20.0,9.101694915254237,10.7,94.0,9.7,9.6,0.0,0.0,993.8
