date,number,address,position,bike_stands,available_bike_stands,available_bikes,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-03-22 18:00:00,58,Kardeljeva c. 55,"{'lat': 46.542655, 'lng': 15.634329}",1162,11.0,8.879310344827585,10.7,92.0,9.4,8.6,0.0,1.0,1006.4
2024-03-23 10:00:00,62,Kardeljeva c. 55,"{'lat': 46.542655, 'lng': 15.634329}",1242,16.0,9.516129032258064,6.1,85.0,3.8,2.2,0.0,0.6,999.1
2024-03-23 11:00:00,54,Kardeljeva c. 55,"{'lat': 46.542655, 'lng': 15.634329}",1082,12.0,8.666666666666666,6.0,88.0,4.1,2.3,0.0,0.6,999.5
2024-03-24 00:00:00,29,Kardeljeva c. 55,"{'lat': 46.542655, 'lng': 15.634329}",581,19.0,9.517241379310345,2.4,89.0,0.7,-1.8,0.0,0.0,999.9
2024-03-24 13:00:00,61,Kardeljeva c. 55,"{'lat': 46.542655, 'lng': 15.634329}",1222,20.0,9.19672131147541,4.8,92.0,3.5,1.5,0.0,1.0,995.4
2024-03-24 18:00:00,70,Kardeljeva c. 55,"{'lat': 46.542655, 'lng': 15.634329}",1400,13.0,8.871428571428572,5.3,86.0,3.2,1.1,0.0,0.4,993.8
2024-03-25 13:00:00,58,Kardeljeva c. 55,"{'lat': 46.542655, 'lng': 15.634329}",1162,20.0,8.017241379310345,9.0,64.0,2.5,5.0,0.0,0.1,1000.7
2024-03-25 15:00:00,58,Kardeljeva c. 55,"{'lat': 46.542655, 'lng': 15.634329}",1162,9.0,8.482758620689655,9.1,59.0,1.5,5.0,0.0,0.0,1000.9
2024-03-25 18:00:00,59,Kardeljeva c. 55,"{'lat': 46.542655, 'lng': 15.634329}",1182,6.0,8.932203389830509,5.6,76.0,1.6,2.7,0.0,0.0,1001.3
2024-03-26 12:00:00,58,Kardeljeva c. 55,"{'lat': 46.542655, 'lng': 15.634329}",1162,7.0,8.310344827586206,12.4,52.0,2.8,7.8,0.0,0.0,994.9
2024-03-27 13:00:00,58,Kardeljeva c. 55,"{'lat': 46.542655, 'lng': 15.634329}",1162,17.0,8.431034482758621,17.1,50.0,6.6,13.6,0.0,0.0,983.7
2024-03-28 13:00:00,58,Kardeljeva c. 55,"{'lat': 46.542655, 'lng': 15.634329}",1162,13.0,8.568965517241379,13.0,56.0,4.5,7.7,0.0,0.0,984.5
2024-03-29 13:00:00,58,Kardeljeva c. 55,"{'lat': 46.542655, 'lng': 15.634329}",1162,12.0,8.241379310344827,12.9,64.0,6.2,8.9,0.0,0.1,995.4
2024-03-29 14:00:00,58,Kardeljeva c. 55,"{'lat': 46.542655, 'lng': 15.634329}",1162,9.0,8.293103448275861,13.8,59.0,5.9,9.8,0.0,0.0,994.8
2024-03-29 16:00:00,62,Kardeljeva c. 55,"{'lat': 46.542655, 'lng': 15.634329}",1242,12.0,8.403225806451612,13.9,63.0,6.9,10.1,0.0,0.0,994.8
2024-03-30 14:00:00,57,Kardeljeva c. 55,"{'lat': 46.542655, 'lng': 15.634329}",1142,5.0,8.824561403508772,21.8,53.0,11.8,20.6,0.0,0.0,994.3
2024-03-30 15:00:00,58,Kardeljeva c. 55,"{'lat': 46.542655, 'lng': 15.634329}",1162,7.0,9.086206896551724,21.6,56.0,12.5,20.7,0.0,0.0,994.0
2024-03-30 16:00:00,68,Kardeljeva c. 55,"{'lat': 46.542655, 'lng': 15.634329}",1364,7.0,8.823529411764707,20.1,64.0,13.1,19.5,0.0,0.0,993.8
2024-03-30 18:00:00,69,Kardeljeva c. 55,"{'lat': 46.542655, 'lng': 15.634329}",1380,5.0,8.681159420289855,16.0,69.0,10.3,14.4,0.0,0.0,993.5
2024-03-31 00:00:00,29,Kardeljeva c. 55,"{'lat': 46.542655, 'lng': 15.634329}",581,12.0,9.517241379310345,10.1,87.0,8.0,8.3,0.0,0.0,993.7
