date,number,address,position,bike_stands,available_bike_stands,available_bikes,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-03-22 16:00:00,65,Pristan 6,"{'lat': 46.556731, 'lng': 15.64212}",1299,14.0,8.23076923076923,11.6,84.0,9.0,8.8,0.0,0.1,1006.6
2024-03-23 02:00:00,50,Pristan 6,"{'lat': 46.556731, 'lng': 15.64212}",1000,8.0,9.34,7.7,95.0,6.9,5.8,0.0,0.1,1003.3
2024-03-23 05:00:00,58,Pristan 6,"{'lat': 46.556731, 'lng': 15.64212}",1162,8.0,9.46551724137931,7.0,97.0,6.6,5.4,0.0,0.0,1001.3
2024-03-23 07:00:00,58,Pristan 6,"{'lat': 46.556731, 'lng': 15.64212}",1162,8.0,9.379310344827585,6.8,93.0,5.7,3.7,0.0,0.5,1000.0
2024-03-23 09:00:00,57,Pristan 6,"{'lat': 46.556731, 'lng': 15.64212}",1142,8.0,9.350877192982455,5.8,89.0,4.1,2.2,0.0,1.1,999.2
2024-03-23 21:00:00,58,Pristan 6,"{'lat': 46.556731, 'lng': 15.64212}",1162,1.0,9.586206896551724,3.4,90.0,1.8,-0.5,0.0,0.0,1000.5
2024-03-23 22:00:00,58,Pristan 6,"{'lat': 46.556731, 'lng': 15.64212}",1162,1.0,9.517241379310345,3.0,87.0,1.0,-1.2,0.0,0.0,1000.4
2024-03-24 01:00:00,29,Pristan 6,"{'lat': 46.556731, 'lng': 15.64212}",581,1.0,9.586206896551724,2.4,90.0,0.9,-1.8,0.0,0.0,999.6
2024-03-24 02:00:00,58,Pristan 6,"{'lat': 46.556731, 'lng': 15.64212}",1162,1.0,9.551724137931034,2.2,89.0,0.6,-2.1,0.0,0.0,999.0
2024-03-24 15:00:00,57,Pristan 6,"{'lat': 46.556731, 'lng': 15.64212}",1141,6.0,8.982456140350877,6.0,81.0,2.9,1.7,0.0,1.3,994.9
2024-03-24 16:00:00,68,Pristan 6,"{'lat': 46.556731, 'lng': 15.64212}",1362,2.0,8.970588235294118,6.0,84.0,3.5,3.1,0.0,1.8,994.4
2024-03-25 16:00:00,60,Pristan 6,"{'lat': 46.556731, 'lng': 15.64212}",1202,0.0,8.666666666666666,8.6,63.0,1.8,5.0,0.0,0.0,1000.9
2024-03-26 05:00:00,58,Pristan 6,"{'lat': 46.556731, 'lng': 15.64212}",1162,1.0,9.448275862068966,1.2,92.0,0.0,-2.9,0.0,0.0,999.8
2024-03-26 07:00:00,58,Pristan 6,"{'lat': 46.556731, 'lng': 15.64212}",1162,1.0,8.586206896551724,4.6,84.0,2.2,0.6,0.0,0.0,999.1
2024-03-28 11:00:00,58,Pristan 6,"{'lat': 46.556731, 'lng': 15.64212}",1162,15.0,8.586206896551724,11.5,59.0,3.9,6.3,0.0,0.0,983.7
2024-03-28 16:00:00,62,Pristan 6,"{'lat': 46.556731, 'lng': 15.64212}",1242,10.0,8.741935483870968,11.1,66.0,5.1,6.1,0.0,0.0,986.4
2024-03-29 23:00:00,56,Pristan 6,"{'lat': 46.556731, 'lng': 15.64212}",1122,9.0,9.321428571428571,10.5,85.0,8.1,9.6,0.0,0.0,997.0
2024-04-01 07:00:00,56,Pristan 6,"{'lat': 46.556731, 'lng': 15.64212}",1122,11.0,9.035714285714286,12.4,88.0,10.5,10.4,0.0,0.0,990.7
2024-04-01 09:00:00,58,Pristan 6,"{'lat': 46.556731, 'lng': 15.64212}",1162,7.0,8.482758620689655,14.5,80.0,11.1,12.9,0.0,0.0,988.9
2024-04-01 10:00:00,58,Pristan 6,"{'lat': 46.556731, 'lng': 15.64212}",1162,6.0,8.344827586206897,17.0,71.0,11.7,15.3,0.0,0.0,987.7
2024-04-04 07:00:00,58,Pristan 6,"{'lat': 46.556731, 'lng': 15.64212}",1162,10.0,8.775862068965518,10.5,88.0,8.7,8.0,0.0,0.0,1004.3
2024-04-04 09:00:00,58,Pristan 6,"{'lat': 46.556731, 'lng': 15.64212}",1162,11.0,8.551724137931034,13.3,70.0,8.0,10.0,0.0,0.0,1004.0
2024-04-13 08:00:00,29,Pristan 6,"{'lat': 46.556731, 'lng': 15.64212}",581,11.0,8.96551724137931,18.0285,65.0,11.349594,18.065828,0.0,0.0,995.7701
