date,number,address,position,bike_stands,available_bike_stands,available_bikes,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-03-23 15:00:00,58,Betnavska c. 83,"{'lat': 46.54199, 'lng': 15.63831}",1162,5.0,9.068965517241379,7.1,73.0,2.5,1.9,0.0,0.4,1001.1
2024-03-24 14:00:00,56,Betnavska c. 83,"{'lat': 46.54199, 'lng': 15.63831}",1123,13.0,9.0,6.4,83.0,3.8,2.0,0.0,0.1,995.1
2024-03-25 03:00:00,58,Betnavska c. 83,"{'lat': 46.54199, 'lng': 15.63831}",1162,17.0,9.53448275862069,4.7,94.0,3.8,0.3,0.0,0.3,994.9
2024-03-25 04:00:00,58,Betnavska c. 83,"{'lat': 46.54199, 'lng': 15.63831}",1162,19.0,9.482758620689655,4.4,94.0,3.5,0.1,0.0,0.3,995.7
2024-03-25 06:00:00,59,Betnavska c. 83,"{'lat': 46.54199, 'lng': 15.63831}",1182,20.0,8.661016949152541,4.7,94.0,3.7,0.4,0.0,0.0,997.4
2024-03-26 14:00:00,56,Betnavska c. 83,"{'lat': 46.54199, 'lng': 15.63831}",1122,6.0,8.553571428571429,12.7,51.0,2.8,8.0,0.0,0.0,993.4
2024-03-26 17:00:00,58,Betnavska c. 83,"{'lat': 46.54199, 'lng': 15.63831}",1162,3.0,8.810344827586206,10.8,64.0,4.3,7.6,0.0,0.0,990.8
2024-03-27 10:00:00,60,Betnavska c. 83,"{'lat': 46.54199, 'lng': 15.63831}",1203,14.0,8.833333333333334,13.9,56.0,5.3,10.3,0.0,0.0,984.9
2024-03-27 16:00:00,61,Betnavska c. 83,"{'lat': 46.54199, 'lng': 15.63831}",1222,7.0,8.360655737704919,15.8,62.0,8.6,13.7,0.0,0.0,983.3
2024-03-29 15:00:00,58,Betnavska c. 83,"{'lat': 46.54199, 'lng': 15.63831}",1162,2.0,8.413793103448276,14.5,59.0,6.5,10.8,0.0,0.0,994.6
2024-03-30 09:00:00,58,Betnavska c. 83,"{'lat': 46.54199, 'lng': 15.63831}",1162,2.0,9.189655172413794,16.3,73.0,11.4,15.0,0.0,0.0,996.3
2024-03-30 13:00:00,59,Betnavska c. 83,"{'lat': 46.54199, 'lng': 15.63831}",1182,0.0,8.661016949152541,21.5,53.0,11.6,20.8,0.0,0.0,994.8
2024-03-31 02:00:00,58,Betnavska c. 83,"{'lat': 46.54199, 'lng': 15.63831}",1162,7.0,9.568965517241379,8.8,88.0,6.9,7.0,0.0,0.0,993.2
2024-03-31 12:00:00,58,Betnavska c. 83,"{'lat': 46.54199, 'lng': 15.63831}",1162,9.0,9.017241379310345,18.9,68.0,13.0,19.0,0.0,0.0,993.6
2024-04-01 16:00:00,58,Betnavska c. 83,"{'lat': 46.54199, 'lng': 15.63831}",1162,10.0,8.10344827586207,15.2,70.0,9.7,10.5,0.0,0.0,989.1
2024-04-02 04:00:00,58,Betnavska c. 83,"{'lat': 46.54199, 'lng': 15.63831}",1162,5.0,8.844827586206897,8.0,88.0,6.2,4.2,0.0,0.0,996.2
2024-04-02 16:00:00,58,Betnavska c. 83,"{'lat': 46.54199, 'lng': 15.63831}",1162,7.0,9.017241379310345,12.9,58.0,5.0,8.3,0.0,0.0,999.5
2024-04-04 10:00:00,61,Betnavska c. 83,"{'lat': 46.54199, 'lng': 15.63831}",1222,11.0,8.098360655737705,13.7,65.0,7.2,10.3,0.0,0.0,1003.7
