date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-04-05 00:00:00,9.6,86,7.3,6.3,0,0.0,1006.3
2024-04-05 01:00:00,9.9,85,7.5,6.7,0,0.0,1006.4
2024-04-05 02:00:00,9.4,88,7.5,6.5,0,0.0,1006.6
2024-04-05 03:00:00,9.2,90,7.6,6.5,0,0.0,1007.2
2024-04-05 04:00:00,9.0,90,7.5,6.5,0,0.0,1007.4
2024-04-05 05:00:00,9.2,90,7.6,6.5,0,0.0,1008.0
2024-04-05 06:00:00,10.3,87,8.2,7.4,0,0.0,1008.3
2024-04-05 07:00:00,12.0,83,9.3,9.8,0,0.0,1008.6
2024-04-05 08:00:00,13.8,78,10.1,11.6,0,0.0,1008.7
2024-04-05 09:00:00,15.2,73,10.4,12.3,0,0.1,1008.7
2024-04-05 10:00:00,15.8,73,10.9,13.4,0,0.0,1008.5
2024-04-05 11:00:00,16.5,71,11.2,14.3,0,0.0,1008.3
2024-04-05 12:00:00,18.0,62,10.6,15.4,0,0.0,1007.6
2024-04-05 13:00:00,18.4,62,10.9,15.6,0,0.0,1007.0
2024-04-05 14:00:00,18.8,60,10.9,16.1,0,0.0,1005.9
2024-04-05 15:00:00,18.7,63,11.5,15.9,0,0.0,1005.2
2024-04-05 16:00:00,17.2,72,12.2,14.9,0,0.0,1004.5
2024-04-05 17:00:00,16.9,70,11.5,14.6,0,0.3,1003.8
2024-04-05 18:00:00,16.4,74,11.8,13.5,0,1.5,1003.9
2024-04-05 19:00:00,15.8,77,11.7,12.3,0,0.3,1005.1
2024-04-05 20:00:00,14.7,80,11.3,12.1,0,0.2,1006.0
2024-04-05 21:00:00,13.9,81,10.7,11.3,0,0.0,1006.8
2024-04-05 22:00:00,13.4,82,10.4,10.9,0,0.0,1007.6
2024-04-05 23:00:00,12.7,85,10.2,10.7,0,0.0,1008.3
